Kernels run on 4 MPI ranks
Kernels                      ,    Problem size ,    Reps ,    Iterations/rep , Kernels/rep ,     Bytes/rep ,     FLOPS/rep ,    BytesRead/rep ,    BytesWritten/rep ,    BytesAtomicModifyWritten/rep
Basic_ARRAY_OF_PTRS          ,         4194304 ,      50 ,           4194304 ,           1 ,     905969664 ,     109051904 ,        872415232 ,            33554432 ,                               0
Basic_COPY8                  ,         4194304 ,      50 ,           4194304 ,           1 ,     536870912 ,             0 ,        268435456 ,           268435456 ,                               0
Basic_DAXPY                  ,         4194304 ,     500 ,           4194304 ,           1 ,     100663296 ,       8388608 ,         67108864 ,            33554432 ,                               0
Basic_DAXPY_ATOMIC           ,         4194304 ,     500 ,           4194304 ,           1 ,     100663296 ,       8388608 ,         33554432 ,                   0 ,                        33554432
Basic_IF_QUAD                ,         4194304 ,     180 ,           4194304 ,           1 ,     167772160 ,      46137344 ,        100663296 ,            67108864 ,                               0
Basic_INDEXLIST              ,         4194304 ,     100 ,           4194304 ,           1 ,      41943056 ,             0 ,         33554440 ,             8388616 ,                               0
Basic_INDEXLIST_3LOOP        ,         4194304 ,     100 ,          12582913 ,           3 ,     176160810 ,             0 ,        100663320 ,            75497490 ,                               0
Basic_INIT3                  ,         4194304 ,     500 ,           4194304 ,           1 ,     167772160 ,       4194304 ,         67108864 ,           100663296 ,                               0
Basic_INIT_VIEW1D            ,         4194304 ,    2500 ,           4194304 ,           1 ,      33554432 ,       4194304 ,                0 ,            33554432 ,                               0
Basic_INIT_VIEW1D_OFFSET     ,         4194304 ,    2500 ,           4194304 ,           1 ,      33554432 ,       4194304 ,                0 ,            33554432 ,                               0
Basic_MAT_MAT_SHARED         ,         4194304 ,       5 ,           4194304 ,           1 ,     100663296 ,   17179869184 ,         67108864 ,            33554432 ,                               0
Basic_MULADDSUB              ,         4194304 ,     350 ,           4194304 ,           1 ,     167772160 ,      12582912 ,         67108864 ,           100663296 ,                               0
Basic_NESTED_INIT            ,         4173281 ,    1000 ,           4173281 ,           1 ,      33386248 ,      12519843 ,                0 ,            33386248 ,                               0
Basic_PI_ATOMIC              ,         4194304 ,      50 ,           4194304 ,           1 ,            16 ,      25165825 ,                0 ,                   0 ,                               8
Basic_PI_REDUCE              ,         4194304 ,      50 ,           4194304 ,           1 ,            16 ,      25165825 ,                8 ,                   8 ,                               0
Basic_REDUCE3_INT            ,         4194304 ,      50 ,           4194304 ,           1 ,      16777240 ,       4194305 ,         16777228 ,                  12 ,                               0
Basic_REDUCE_STRUCT          ,         4194304 ,      50 ,           4194304 ,           1 ,      67108960 ,       8388610 ,         67108912 ,                  48 ,                               0
Basic_TRAP_INT               ,         4194304 ,      50 ,           4194304 ,           1 ,            16 ,      41943040 ,                8 ,                   8 ,                               0
Basic_MULTI_REDUCE           ,         4194304 ,      50 ,           4194304 ,           1 ,      67109024 ,       4194304 ,         67108944 ,                  80 ,                               0
Lcals_DIFF_PREDICT           ,         4194304 ,     200 ,           4194304 ,           1 ,     671088640 ,      37748736 ,        335544320 ,           335544320 ,                               0
Lcals_EOS                    ,         4194304 ,     500 ,           4194304 ,           1 ,     134217784 ,      67108864 ,        100663352 ,            33554432 ,                               0
Lcals_FIRST_DIFF             ,         4194304 ,    2000 ,           4194304 ,           1 ,      67108872 ,       4194304 ,         33554440 ,            33554432 ,                               0
Lcals_FIRST_MIN              ,         4194304 ,     100 ,           4194304 ,           1 ,      33554464 ,             0 ,         33554448 ,                  16 ,                               0
Lcals_FIRST_SUM              ,         4194304 ,    2000 ,           4194304 ,           1 ,      67108856 ,       4194303 ,         33554424 ,            33554432 ,                               0
Lcals_GEN_LIN_RECUR          ,         4194304 ,     500 ,           4194304 ,           2 ,     335544320 ,      25165824 ,        201326592 ,           134217728 ,                               0
Lcals_HYDRO_1D               ,         4194304 ,    1000 ,           4194304 ,           1 ,     100663304 ,      20971520 ,         67108872 ,            33554432 ,                               0
Lcals_HYDRO_2D               ,         4194304 ,     100 ,          12582912 ,           3 ,     603324736 ,     184189104 ,        402391168 ,           200933568 ,                               0
Lcals_INT_PREDICT            ,         4194304 ,     400 ,           4194304 ,           1 ,     369098752 ,      71303168 ,        335544320 ,            33554432 ,                               0
Lcals_PLANCKIAN              ,         4194304 ,      50 ,           4194304 ,           1 ,     167772160 ,      16777216 ,        100663296 ,            67108864 ,                               0
Lcals_TRIDIAG_ELIM           ,         4194304 ,    1000 ,           4194304 ,           1 ,     134217728 ,       8388606 ,        100663296 ,            33554432 ,                               0
Polybench_2MM                ,         4194304 ,       2 ,           8388608 ,           2 ,     209354752 ,   46032486400 ,        142245888 ,            67108864 ,                               0
Polybench_3MM                ,         4194304 ,       2 ,          12582912 ,           3 ,     316047360 ,   55138320384 ,        215384064 ,           100663296 ,                               0
Polybench_ADI                ,         4194304 ,       4 ,             16384 ,           8 ,    1612185600 ,     570425344 ,        806092800 ,           806092800 ,                               0
Polybench_ATAX               ,         4194304 ,     100 ,              4096 ,           2 ,      67190784 ,      16777216 ,         67141632 ,               49152 ,                               0
Polybench_FDTD_2D            ,         4196352 ,       8 ,         503562280 ,         160 ,   13428983040 ,    1845985280 ,       9400484800 ,          4028498240 ,                               0
Polybench_FLOYD_WARSHALL     ,         4194304 ,       8 ,           4194304 ,           1 ,      67108864 ,    8589934592 ,         33554432 ,            33554432 ,                               0
Polybench_GEMM               ,         4194304 ,       4 ,           4194304 ,           1 ,     114065408 ,   30920409088 ,         80510976 ,            33554432 ,                               0
Polybench_GEMVER             ,         4194304 ,      20 ,          12584960 ,           4 ,     134430720 ,      41945088 ,        100827136 ,            33603584 ,                               0
Polybench_GESUMMV            ,         4194304 ,     120 ,              2048 ,           1 ,      67141632 ,      16783360 ,         67125248 ,               16384 ,                               0
Polybench_HEAT_3D            ,         4173281 ,      20 ,         166931240 ,          40 ,    2720668160 ,    2503968600 ,       1385218240 ,          1335449920 ,                               0
Polybench_JACOBI_1D          ,         4194304 ,     100 ,         134217728 ,          32 ,    2147484160 ,     402653184 ,       1073742336 ,          1073741824 ,                               0
Polybench_JACOBI_2D          ,         4194304 ,      50 ,         335544320 ,           2 ,    5373952000 ,    1677721600 ,       2689597440 ,          2684354560 ,                               0
Polybench_MVT                ,         4194304 ,     100 ,              4096 ,           2 ,      67207168 ,      16777216 ,         67174400 ,               32768 ,                               0
Stream_ADD                   ,         4194304 ,    1000 ,           4194304 ,           1 ,     100663296 ,       4194304 ,         67108864 ,            33554432 ,                               0
Stream_COPY                  ,         4194304 ,    1800 ,           4194304 ,           1 ,      67108864 ,             0 ,         33554432 ,            33554432 ,                               0
Stream_DOT                   ,         4194304 ,    2000 ,           4194304 ,           1 ,      67108880 ,       8388608 ,         67108872 ,                   8 ,                               0
Stream_MUL                   ,         4194304 ,    1800 ,           4194304 ,           1 ,      67108864 ,       4194304 ,         33554432 ,            33554432 ,                               0
Stream_TRIAD                 ,         4194304 ,    1000 ,           4194304 ,           1 ,     100663296 ,       8388608 ,         67108864 ,            33554432 ,                               0
Apps_CONVECTION3DPA          ,         4194304 ,      50 ,           4194304 ,           1 ,     130744616 ,     241369088 ,        128975136 ,             1769480 ,                               0
Apps_DEL_DOT_VEC_2D          ,         4194304 ,     100 ,           4194304 ,           1 ,     201457696 ,     226492416 ,        167903264 ,            33554432 ,                               0
Apps_DIFFUSION3DPA           ,         4194304 ,      50 ,           4194304 ,           1 ,     243794112 ,     463011840 ,        229638336 ,            14155776 ,                               0
Apps_EDGE3D                  ,         4173281 ,      10 ,           4437343 ,           1 ,     142652360 ,   51557488317 ,        107153616 ,            35498744 ,                               0
Apps_ENERGY                  ,         4194304 ,     130 ,          25165824 ,           6 ,     905969664 ,     230686720 ,        738197504 ,           167772160 ,                               0
Apps_FIR                     ,         4194304 ,     160 ,           4194304 ,           1 ,      67109112 ,     134217728 ,         33554680 ,            33554432 ,                               0
Apps_LTIMES                  ,         4194304 ,      50 ,           4194304 ,           1 ,      59781632 ,     209715200 ,         46674432 ,            13107200 ,                               0
Apps_LTIMES_NOVIEW           ,         4194304 ,      50 ,           4194304 ,           1 ,      59781632 ,     209715200 ,         46674432 ,            13107200 ,                               0
Apps_MASS3DEA                ,         4194304 ,       1 ,           4194304 ,           1 ,      34578592 ,      29360128 ,          1024160 ,            33554432 ,                               0
Apps_MASS3DPA                ,         4194250 ,      50 ,           4194250 ,           1 ,      85093264 ,     170085226 ,         67913616 ,            17179648 ,                               0
Apps_MATVEC_3D_STENCIL       ,         4173281 ,     100 ,           4173281 ,           1 ,     574401728 ,     221183893 ,        541015480 ,            33386248 ,                               0
Apps_NODAL_ACCUMULATION_3D   ,         4173281 ,     100 ,           4173281 ,           1 ,     134796944 ,      37559529 ,        100784720 ,            34012224 ,                               0
Apps_PRESSURE                ,         4194304 ,     700 ,           8388608 ,           2 ,     201326592 ,      12582912 ,        134217728 ,            67108864 ,                               0
Apps_VOL3D                   ,         4173281 ,     100 ,           4437343 ,           1 ,     142652360 ,     319488696 ,        107153616 ,            35498744 ,                               0
Apps_ZONAL_ACCUMULATION_3D   ,         4173281 ,     100 ,           4173281 ,           1 ,     100784720 ,      33386248 ,         67398472 ,            33386248 ,                               0
Algorithm_SCAN               ,         4194304 ,     100 ,           4194304 ,           1 ,      67108864 ,       4194304 ,         33554432 ,            33554432 ,                               0
Algorithm_SORT               ,         4194304 ,      20 ,           4194304 ,           1 ,      67108864 ,             0 ,         33554432 ,            33554432 ,                               0
Algorithm_SORTPAIRS          ,         4194304 ,      20 ,           4194304 ,           1 ,     134217728 ,             0 ,         67108864 ,            67108864 ,                               0
Algorithm_REDUCE_SUM         ,         4194304 ,      50 ,           4194304 ,           1 ,      33554448 ,       4194304 ,         33554440 ,                   8 ,                               0
Algorithm_MEMSET             ,         4194304 ,     100 ,           4194304 ,           1 ,      33554432 ,             0 ,                0 ,            33554432 ,                               0
Algorithm_MEMCPY             ,         4194304 ,     100 ,           4194304 ,           1 ,      67108864 ,             0 ,         33554432 ,            33554432 ,                               0
Algorithm_ATOMIC             ,         4194304 ,      50 ,           4194304 ,           1 ,      67108864 ,       4194304 ,                0 ,                   0 ,                        33554432
Algorithm_HISTOGRAM          ,         4194304 ,      50 ,           4194304 ,           1 ,      33554592 ,       4194304 ,         33554512 ,                  80 ,                               0
Comm_HALO_PACKING            ,         4173281 ,     200 ,            472398 ,         156 ,      18895920 ,             0 ,         11337552 ,             7558368 ,                               0
Comm_HALO_SENDRECV           ,         4173281 ,     200 ,            472398 ,           0 ,       7558368 ,             0 ,          3779184 ,             3779184 ,                               0
Comm_HALO_EXCHANGE           ,         4173281 ,     200 ,            472398 ,         156 ,      26454288 ,             0 ,         15116736 ,            11337552 ,                               0
